"filename", "language", "Svelte", "PostCSS", "TypeScript", "JSON", "JavaScript", "JSON with Comments", "XML", "HTML", "Markdown", "Python", "C++", "pip requirements", "comment", "blank", "total"
"/Users/haack/Developer/wall-e/client/tailwind.config.cjs", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"/Users/haack/Developer/wall-e/client/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 1, 21
"/Users/haack/Developer/wall-e/client/tsconfig.node.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/haack/Developer/wall-e/client/vite.config.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 40
"/Users/haack/Developer/wall-e/server/camera.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 2, 7, 38
"/Users/haack/Developer/wall-e/server/commands.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 3, 21, 50
"/Users/haack/Developer/wall-e/server/requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 183, 0, 1, 184
"/Users/haack/Developer/wall-e/server/speaker.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 5, 11
"/Users/haack/Developer/wall-e/server/walle_app.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 14, 50, 174
"/Users/haack/Developer/wall-e/server/web/trust.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 4, 92
"Total", "-", 1320, 17, 55, 5919, 43, 14, 29, 105, 93, 170, 185, 183, 65, 362, 8560
